time mnvel errvel tel svalue
2.453044113530000206e+06 -1.218999999999999950e+01 3.080000000000000071e+00 hires \nodata
2.453044121569999959e+06 -1.623999999999999844e+01 3.089999999999999858e+00 hires \nodata
2.453045010149999987e+06 1.276000000000000023e+00 2.995999999999999996e+00 hires \nodata
2.453045018410000019e+06 9.559999999999999609e-01 3.193000000000000060e+00 hires \nodata
2.453045024879999924e+06 1.308000000000000052e+00 2.995999999999999996e+00 hires \nodata
2.453045976119999774e+06 1.067800000000000082e+01 2.956999999999999851e+00 hires \nodata
2.453045984159999993e+06 8.928000000000000824e+00 2.976999999999999869e+00 hires \nodata
2.453045992200000212e+06 1.032799999999999940e+01 2.741000000000000103e+00 hires \nodata
2.453069025460000150e+06 1.501299999999999990e+01 2.883000000000000007e+00 hires \nodata
2.453069032279999927e+06 1.486500000000000021e+01 2.536000000000000032e+00 hires \nodata
2.453069037909999955e+06 2.233800000000000097e+01 2.922000000000000153e+00 hires \nodata
2.453073987420000136e+06 4.663999999999999702e+00 3.124000000000000110e+00 hires \nodata
2.453073994070000015e+06 -8.739999999999999991e-01 2.955999999999999961e+00 hires \nodata
2.453077065739999991e+06 1.786799999999999855e+01 2.729000000000000092e+00 hires \nodata
2.453153816540000029e+06 2.487800000000000011e+01 2.273000000000000131e+00 hires \nodata
2.453179759409999941e+06 -3.028000000000000025e+00 2.810999999999999943e+00 hires \nodata
2.453180790659999941e+06 1.256400000000000006e+01 4.147999999999999687e+00 hires \nodata
2.453180809830000158e+06 1.036999999999999922e+01 3.020000000000000018e+00 hires \nodata
2.453181746170000173e+06 -1.015199999999999925e+01 2.463000000000000078e+00 hires \nodata
2.453189784239999950e+06 -1.731200000000000117e+01 2.620999999999999996e+00 hires \nodata
2.453189790670000017e+06 -2.135999999999999943e+01 2.801000000000000156e+00 hires \nodata
2.453190750099999830e+06 1.515000000000000036e+01 2.501999999999999780e+00 hires \nodata
2.453190756750000175e+06 1.160200000000000031e+01 2.750999999999999890e+00 hires \nodata
2.453195762420000043e+06 1.804999999999999938e+00 2.541999999999999815e+00 hires \nodata
2.453195770450000186e+06 4.849999999999999867e-01 2.411999999999999922e+00 hires \nodata
2.453196768519999925e+06 1.568000000000000060e+00 3.129000000000000004e+00 hires \nodata
2.453196775340000167e+06 -9.601000000000000867e+00 2.801000000000000156e+00 hires \nodata
2.453339140469999984e+06 1.647899999999999920e+01 2.895999999999999908e+00 hires \nodata
2.453340129060000181e+06 -1.263700000000000045e+01 2.321000000000000174e+00 hires \nodata
2.453370132780000102e+06 -5.090000000000000080e-01 2.823999999999999844e+00 hires \nodata
2.453401054529999848e+06 -1.617800000000000082e+01 2.572999999999999954e+00 hires \nodata
2.453483875899999868e+06 2.132000000000000117e+00 2.306999999999999940e+00 hires \nodata
2.453693112379999831e+06 1.726800000000000068e+01 2.310999999999999943e+00 hires \nodata
2.453695136090000160e+06 -6.862000000000000099e+00 2.549999999999999822e+00 hires \nodata
2.453695141809999943e+06 -4.698999999999999844e+00 2.511000000000000121e+00 hires \nodata
2.453724143470000010e+06 -6.488000000000000433e+00 2.733999999999999986e+00 hires \nodata
2.453725119739999995e+06 1.944200000000000017e+01 2.623000000000000220e+00 hires \nodata
2.453748058670000173e+06 -3.240000000000000213e+00 2.479000000000000092e+00 hires \nodata
2.453753074719999917e+06 -1.401399999999999935e+01 2.630999999999999783e+00 hires \nodata
2.453754040320000146e+06 2.511499999999999844e+01 2.549999999999999822e+00 hires \nodata
2.453776052159999963e+06 -6.192000000000000171e+00 2.615000000000000213e+00 hires \nodata
2.453777022619999945e+06 -1.125900000000000034e+01 2.436999999999999833e+00 hires \nodata
2.453807019809999969e+06 2.380900000000000105e+01 2.944999999999999840e+00 hires \nodata
2.453841886690000072e+06 3.899999999999999911e+00 2.351999999999999869e+00 hires \nodata
2.453933780900000129e+06 1.942899999999999849e+01 2.637999999999999901e+00 hires \nodata
2.454246884539999999e+06 -6.020999999999999908e+00 2.369000000000000217e+00 hires \nodata
2.454246890910000075e+06 -1.159900000000000020e+01 2.339999999999999858e+00 hires \nodata
2.454247847750000190e+06 2.139999999999999958e-01 2.568999999999999950e+00 hires \nodata
2.454248950720000081e+06 6.847999999999999865e+00 2.798000000000000043e+00 hires \nodata
2.454249806890000124e+06 -1.418599999999999994e+01 2.408999999999999808e+00 hires \nodata
2.454250844599999953e+06 1.559800000000000075e+01 2.209999999999999964e+00 hires \nodata
2.454251899269999936e+06 -5.328999999999999737e+00 2.599000000000000199e+00 hires \nodata
2.454255876600000076e+06 -5.500000000000000028e-02 2.157000000000000028e+00 hires \nodata
2.454255882919999771e+06 2.357000000000000206e+00 2.226999999999999869e+00 hires \nodata
2.454277822329999879e+06 2.223999999999999844e+01 2.677999999999999936e+00 hires \nodata
2.454278843900000211e+06 -1.107699999999999996e+01 2.838000000000000078e+00 hires \nodata
2.454279835419999901e+06 1.025300000000000011e+01 2.599000000000000199e+00 hires \nodata
2.454294768980000168e+06 -1.862600000000000122e+01 3.181999999999999940e+00 hires \nodata
2.454294775210000109e+06 -1.770400000000000063e+01 2.722999999999999865e+00 hires \nodata
2.454300746700000018e+06 -3.769000000000000128e+00 2.282999999999999918e+00 hires \nodata
2.454304767279999796e+06 -3.398000000000000131e+00 2.584000000000000075e+00 hires \nodata
2.454305764469999820e+06 -1.360999999999999943e+01 2.213999999999999968e+00 hires \nodata
2.454307788279999979e+06 -1.042900000000000027e+01 3.023000000000000131e+00 hires \nodata
2.454307794619999826e+06 -1.250699999999999967e+01 2.972999999999999865e+00 hires \nodata
2.454308780309999827e+06 5.830000000000000071e+00 2.702999999999999847e+00 hires \nodata
2.454309763379999902e+06 1.053100000000000058e+01 2.633000000000000007e+00 hires \nodata
2.454310760309999809e+06 -1.014000000000000057e+01 2.664000000000000146e+00 hires \nodata
2.454311759329999797e+06 2.202100000000000080e+01 2.932999999999999829e+00 hires \nodata
2.454312756339999847e+06 -6.838000000000000078e+00 2.653000000000000025e+00 hires \nodata
2.454313759209999815e+06 -1.049099999999999966e+01 2.802999999999999936e+00 hires \nodata
2.454314769729999825e+06 1.921499999999999986e+01 3.083000000000000185e+00 hires \nodata
2.454314776200000197e+06 2.215800000000000125e+01 3.133000000000000007e+00 hires \nodata
2.454429099409999792e+06 -3.613999999999999879e+00 2.258999999999999897e+00 hires \nodata
2.454429106879999861e+06 -4.442999999999999616e+00 2.349000000000000199e+00 hires \nodata
2.454429114349999931e+06 -6.852000000000000313e+00 2.269000000000000128e+00 hires \nodata
2.454491028429999948e+06 -4.517000000000000348e+00 2.787999999999999812e+00 hires \nodata
2.454544988590000197e+06 9.092999999999999972e+00 2.692000000000000171e+00 hires \nodata
2.454544994839999825e+06 1.070500000000000007e+01 2.623000000000000220e+00 hires \nodata
2.454545993540000170e+06 -1.391300000000000026e+01 2.395000000000000018e+00 hires \nodata
2.454545999840000179e+06 -1.411100000000000065e+01 2.246999999999999886e+00 hires \nodata
2.454546924310000148e+06 1.483200000000000074e+01 1.981000000000000094e+00 hires \nodata
2.454546930590000004e+06 1.297400000000000020e+01 2.137999999999999901e+00 hires \nodata
2.454600878769999836e+06 -3.849000000000000199e+00 2.229000000000000092e+00 hires \nodata
2.454600885269999970e+06 -6.670000000000000373e-01 2.315999999999999837e+00 hires \nodata
2.454600891470000148e+06 -1.284999999999999920e+00 2.209999999999999964e+00 hires \nodata
2.454601847790000029e+06 -9.240999999999999659e+00 1.979000000000000092e+00 hires \nodata
2.454601854189999867e+06 -7.578999999999999737e+00 2.036999999999999922e+00 hires \nodata
2.454601860489999875e+06 -4.057000000000000384e+00 2.027000000000000135e+00 hires \nodata
2.454601889510000125e+06 -8.791999999999999815e+00 2.084999999999999964e+00 hires \nodata
2.454633802240000106e+06 -6.849000000000000199e+00 2.685000000000000053e+00 hires \nodata
2.454634801909999922e+06 1.443099999999999916e+01 2.315999999999999837e+00 hires \nodata
2.454634808279999997e+06 1.366399999999999970e+01 2.196000000000000174e+00 hires \nodata
2.454635801709999796e+06 -1.105799999999999983e+01 2.395000000000000018e+00 hires \nodata
2.454635808100000024e+06 -1.146599999999999930e+01 1.965999999999999970e+00 hires \nodata
2.454636846789999865e+06 1.405599999999999916e+01 2.266000000000000014e+00 hires \nodata
2.454636853159999941e+06 1.638899999999999935e+01 2.375000000000000000e+00 hires \nodata
2.454637787860000040e+06 4.368999999999999773e+00 2.145999999999999908e+00 hires \nodata
2.454637794189999811e+06 2.270999999999999908e+00 2.275999999999999801e+00 hires \nodata
2.454638758090000134e+06 -1.021499999999999986e+01 2.145999999999999908e+00 hires \nodata
2.454639812260000035e+06 2.472899999999999920e+01 2.544999999999999929e+00 hires \nodata
2.454643830639999826e+06 -1.180499999999999972e+01 2.555000000000000160e+00 hires \nodata
2.454666750539999921e+06 -1.731000000000000094e+00 2.428999999999999826e+00 hires \nodata
2.454666757949999999e+06 -3.229999999999999982e+00 2.668000000000000149e+00 hires \nodata
2.454666765560000204e+06 -5.830000000000000071e+00 2.428999999999999826e+00 hires \nodata
2.454666772940000053e+06 -4.618999999999999773e+00 2.298999999999999932e+00 hires \nodata
2.454666780429999810e+06 -4.408000000000000362e+00 2.238999999999999879e+00 hires \nodata
2.454667749050000217e+06 -2.212000000000000099e+01 2.439000000000000057e+00 hires \nodata
2.454667756490000058e+06 -2.108899999999999864e+01 2.447999999999999954e+00 hires \nodata
2.454667763900000136e+06 -2.337800000000000011e+01 2.657999999999999918e+00 hires \nodata
2.454667771389999893e+06 -2.210699999999999932e+01 2.478000000000000203e+00 hires \nodata
2.454667778830000199e+06 -2.242599999999999838e+01 2.218999999999999861e+00 hires \nodata
2.454668748060000129e+06 1.535299999999999976e+01 2.140000000000000124e+00 hires \nodata
2.454668755669999868e+06 1.184299999999999997e+01 2.548999999999999932e+00 hires \nodata
2.454668763100000098e+06 1.467399999999999949e+01 2.180000000000000160e+00 hires \nodata
2.454668770459999796e+06 1.633500000000000085e+01 2.200000000000000178e+00 hires \nodata
2.454668777859999798e+06 1.504599999999999937e+01 2.040999999999999925e+00 hires \nodata
2.454668786100000143e+06 1.630600000000000094e+01 2.140000000000000124e+00 hires \nodata
2.454671756790000014e+06 1.440499999999999936e+01 2.669000000000000039e+00 hires \nodata
2.454671764150000177e+06 1.166600000000000037e+01 2.361000000000000210e+00 hires \nodata
2.454671771590000018e+06 1.509699999999999953e+01 2.609999999999999876e+00 hires \nodata
2.454671779089999851e+06 1.320800000000000018e+01 2.430000000000000160e+00 hires \nodata
2.454671786520000082e+06 1.302899999999999991e+01 2.698999999999999844e+00 hires \nodata
2.454671793879999779e+06 1.509999999999999964e+01 2.569999999999999840e+00 hires \nodata
2.454672740079999901e+06 -1.359399999999999942e+01 2.658999999999999808e+00 hires \nodata
2.454672748149999883e+06 -9.544000000000000483e+00 2.600000000000000089e+00 hires \nodata
2.454672755489999894e+06 -1.105300000000000082e+01 2.809000000000000163e+00 hires \nodata
2.454672762930000201e+06 -1.273199999999999932e+01 2.958000000000000185e+00 hires \nodata
2.454672770539999940e+06 -1.490099999999999980e+01 2.718999999999999861e+00 hires \nodata
2.454672778010000009e+06 -1.615099999999999980e+01 2.789000000000000146e+00 hires \nodata
2.454673752290000208e+06 1.204100000000000037e+01 2.290999999999999925e+00 hires \nodata
2.454673759709999897e+06 8.221999999999999531e+00 2.241000000000000103e+00 hires \nodata
2.454673767159999814e+06 1.001299999999999990e+01 2.379999999999999893e+00 hires \nodata
2.454673774610000197e+06 9.923999999999999488e+00 2.399999999999999911e+00 hires \nodata
2.454673782060000114e+06 1.183399999999999963e+01 2.330999999999999961e+00 hires \nodata
2.454673789609999862e+06 1.109500000000000064e+01 2.709000000000000075e+00 hires \nodata
2.454675746410000138e+06 -1.029199999999999982e+01 4.506000000000000227e+00 hires \nodata
2.454675753399999812e+06 -1.948999999999999844e+01 5.464999999999999858e+00 hires \nodata
2.454675761520000175e+06 -1.796999999999999886e+01 8.592999999999999972e+00 hires \nodata
2.454675770810000133e+06 -2.156200000000000117e+01 7.113000000000000433e+00 hires \nodata
2.454675776750000194e+06 -4.608999999999999986e+00 4.195999999999999730e+00 hires \nodata
2.454675784030000214e+06 -1.679799999999999827e+01 4.166000000000000369e+00 hires \nodata
2.454686744659999851e+06 -5.596000000000000085e+00 2.736000000000000210e+00 hires \nodata
2.454686752249999903e+06 -7.684999999999999609e+00 2.725999999999999979e+00 hires \nodata
2.454686759910000023e+06 -4.783999999999999808e+00 3.016000000000000014e+00 hires \nodata
2.454807136109999847e+06 -2.071000000000000174e+00 2.628000000000000114e+00 hires \nodata
2.454807142349999864e+06 3.342000000000000082e+00 3.116999999999999993e+00 hires \nodata
2.454811162479999941e+06 8.557000000000000384e+00 2.338999999999999968e+00 hires \nodata
2.454819112720000092e+06 8.317000000000000171e+00 2.169000000000000039e+00 hires \nodata
2.454819120089999866e+06 1.142800000000000082e+01 2.347999999999999865e+00 hires \nodata
2.454819127460000105e+06 1.049900000000000055e+01 2.189000000000000057e+00 hires \nodata
2.454819134910000023e+06 1.205000000000000071e+01 2.467999999999999972e+00 hires \nodata
2.454819142339999788e+06 1.257099999999999973e+01 2.237999999999999989e+00 hires \nodata
2.454819149780000094e+06 1.273199999999999932e+01 2.267999999999999794e+00 hires \nodata
2.454820120649999939e+06 6.198000000000000398e+00 2.607000000000000206e+00 hires \nodata
2.454820128140000161e+06 3.657999999999999918e+00 2.496999999999999886e+00 hires \nodata
2.454820135569999926e+06 4.149000000000000021e+00 2.217999999999999972e+00 hires \nodata
2.454820143070000224e+06 3.140000000000000124e+00 2.228000000000000203e+00 hires \nodata
2.454820150499999989e+06 5.740999999999999659e+00 2.358000000000000096e+00 hires \nodata
2.454820157990000211e+06 7.532000000000000028e+00 2.427999999999999936e+00 hires \nodata
2.454821044280000031e+06 -1.444899999999999984e+01 2.338000000000000078e+00 hires \nodata
2.454821051709999796e+06 -1.367800000000000082e+01 2.258000000000000007e+00 hires \nodata
2.454821059119999874e+06 -1.003700000000000081e+01 2.418000000000000149e+00 hires \nodata
2.454821066810000222e+06 -1.292600000000000016e+01 2.418000000000000149e+00 hires \nodata
2.454821074260000139e+06 -1.450500000000000078e+01 2.507000000000000117e+00 hires \nodata
2.454821081689999904e+06 -1.199499999999999922e+01 2.516999999999999904e+00 hires \nodata
2.454822046879999805e+06 1.821799999999999997e+01 2.138999999999999790e+00 hires \nodata
2.454822054330000188e+06 2.021900000000000119e+01 2.407999999999999918e+00 hires \nodata
2.454822061770000029e+06 2.155999999999999872e+01 2.208000000000000185e+00 hires \nodata
2.454822069240000099e+06 2.479100000000000037e+01 2.189000000000000057e+00 hires \nodata
2.454822076400000136e+06 2.078200000000000003e+01 2.378000000000000114e+00 hires \nodata
2.454822084110000171e+06 2.306200000000000117e+01 2.217999999999999972e+00 hires \nodata
2.454822091820000205e+06 2.148300000000000054e+01 2.108999999999999986e+00 hires \nodata
2.454823084489999805e+06 -4.575000000000000178e+00 2.019000000000000128e+00 hires \nodata
2.454823092040000018e+06 -4.453999999999999737e+00 2.217999999999999972e+00 hires \nodata
2.454823099429999944e+06 -4.613999999999999879e+00 2.168000000000000149e+00 hires \nodata
2.454823106850000098e+06 -4.083000000000000185e+00 1.919999999999999929e+00 hires \nodata
2.454823114289999940e+06 -5.961999999999999744e+00 1.879999999999999893e+00 hires \nodata
2.454823121720000170e+06 -5.520999999999999908e+00 2.068999999999999950e+00 hires \nodata
2.454847130479999818e+06 -1.510699999999999932e+01 2.829000000000000181e+00 hires \nodata
2.454847136539999861e+06 -1.389499999999999957e+01 2.908999999999999808e+00 hires \nodata
2.454865106769999955e+06 9.664999999999999147e+00 2.095000000000000195e+00 hires \nodata
2.454865113460000139e+06 1.388700000000000045e+01 2.359999999999999876e+00 hires \nodata
2.454903118780000135e+06 -1.923799999999999955e+01 2.545999999999999819e+00 hires \nodata
2.454903126430000179e+06 -1.681700000000000017e+01 2.862000000000000099e+00 hires \nodata
2.454928000390000176e+06 1.492900000000000027e+01 2.701000000000000068e+00 hires \nodata
2.454928006709999871e+06 1.626099999999999923e+01 2.472999999999999865e+00 hires \nodata
2.454954971890000161e+06 -5.548000000000000043e+00 2.511000000000000121e+00 hires \nodata
2.454963974810000043e+06 -9.089999999999999858e+00 2.302999999999999936e+00 hires \nodata
2.454963981089999899e+06 -1.328700000000000081e+01 2.362000000000000099e+00 hires \nodata
2.454967964130000211e+06 1.444299999999999962e+01 2.660000000000000142e+00 hires \nodata
2.454967971630000044e+06 1.553400000000000070e+01 2.700000000000000178e+00 hires \nodata
2.454968897080000024e+06 -7.304000000000000270e+00 2.511000000000000121e+00 hires \nodata
2.454968904509999789e+06 -8.273999999999999133e+00 2.569999999999999840e+00 hires \nodata
2.454968912000000011e+06 -1.053299999999999947e+01 2.580000000000000071e+00 hires \nodata
2.454968919900000095e+06 -1.075200000000000067e+01 2.758999999999999897e+00 hires \nodata
2.454968926860000007e+06 -1.228100000000000058e+01 2.809000000000000163e+00 hires \nodata
2.454968934760000091e+06 -5.541000000000000369e+00 2.729000000000000092e+00 hires \nodata
2.454983879619999789e+06 7.724999999999999645e+00 2.541999999999999815e+00 hires \nodata
2.454983885939999949e+06 9.157999999999999474e+00 2.325000000000000178e+00 hires \nodata
2.454984908869999927e+06 -1.605099999999999838e+01 2.552000000000000046e+00 hires \nodata
2.454984915219999850e+06 -1.028800000000000026e+01 2.383999999999999897e+00 hires \nodata
2.455015793260000180e+06 1.970000000000000084e-01 2.335999999999999854e+00 hires \nodata
2.455015799529999960e+06 2.119000000000000217e+00 2.226999999999999869e+00 hires \nodata
2.455021806700000074e+06 -2.667899999999999849e+01 3.109999999999999876e+00 hires \nodata
2.455021813930000179e+06 -2.239799999999999969e+01 3.089999999999999858e+00 hires \nodata
2.455021821229999885e+06 -2.719699999999999918e+01 3.198999999999999844e+00 hires \nodata
2.455022818800000008e+06 6.059999999999999831e-01 2.620999999999999996e+00 hires \nodata
2.455022826439999975e+06 1.657000000000000028e+00 2.541999999999999815e+00 hires \nodata
