t terr
2454496.48567 0.00290
2456868.07879 0.00125
2454499.12522 0.00674
2455585.74037 0.02775
2456881.30441 0.00868
2457079.57260 0.00831
2454501.79592 0.01620
2454282.33453 0.00179
2454628.68412 0.00348
2454631.32678 0.00323
2454633.97148 0.00431
2454636.61829 0.00840
2454858.70792 0.00943
2454861.34733 0.00495
2454863.99421 0.00228
2454866.62937 0.00724
2454477.98123 0.00149
2454470.05344 0.01017
2458361.86068 0.00975
2458364.53288 0.00371
2454660.41980 0.00174
2454663.05453 0.00487
